SampleID	height	tiller	wetWeight
D4034He	59	39	85.35
D4034Hf	59	34	65.09
D4035Ha	58	27	53.66
D4035Hb	56	25	79.03
D4035Hc	58	13	31.62
D4035Hd	63	38	115.54
D4035He	82	35	136.63
D4035Hf	62	13	46.5
D4036Ha	76	35	106.08
D4036Hb	72	44	106.02
D4036Hc	78	24	85.37
D4036Hd	76	31	99.5
D4036He	76	36	104.18
D4036Hf	73	47	127.42
D4037Ha	81	27	102.81
D4037Hb	75	20	70.87
D4037Hc	84	24	90.75
D4037Hd	81	32	114.34
D4037He	83	24	82.27
D4037Hf	70	32	87.43
D4038Ha	75	20	63.55
D4038Hb	73	22	89.79
D4038Hc	68	9	29.68
D4038Hd	84	15	72.07
D4038He	77	21	102.84
D4038Hf	82	14	59.21
D4039Ha	64	20	51.32
D4039Hb	62	34	74.24
D4039Hc	57	17	24.22
E4043Ha	72	45	119.23
E4043Hb	70	46	126.23
E4043Hc	73	31	84.83
E4043Hd	78	34	102.43
E4043He	71	26	71.82
E4043Hf	74	31	88.51
E4045Ha	70	45	154.53
E4045Hb	70	57	150.46
E4045Hc	68	51	128.68
E4045Hd	72	38	138.02
E4045He	75	29	89.03
E4045Hf	64	27	56
E4049Ha	72	29	107.55
E4049Hb	75	23	73.64
E4049Hc	72	23	85.47
E4049Hd	80	22	89.13
E4049He	74	25	86.43
E4049Hf	79	41	124.22
F4052Ha	62	23	48.17
F4052Hb	68	27	65.6
F4052Hc	64	33	90.42
F4052Hd	68	28	81.47
F4052He	66	21	54.01
F4052Hf	63	29	87.03
F4056Ha	62	22	68.42
F4056Hb	62	48	116.54
F4056Hc	61	34	83.81
F4056Hd	70	22	80.5
F4056He	64	30	76.9
F4056Hf	67	36	96.02
G4062Ha	60	35	76.52
G4062Hb	60	31	80.2
G4062Hc	55	48	103.18
G4062Hd	58	27	56.05
G4062He	56	22	56.24
G4062Hf	57	27	66.52
G4063Ha	78	16	59.72
G4063Hb	72	17	83.78
G4063Hc	72	19	79.78
G4063Hd	72	13	46.4
G4063He	71	16	67.85
G4063Hf	74	15	49.91
G4066Ha	81	23	85.41
G4066Hb	88	38	137.71
G4066Hc	87	36	152.82
G4066Hd	90	29	122.75
G4066He	68	15	40.92
G4066Hf	84	18	58.42
G4070Ha	75	38	114.07
G4070Hb	69	31	67.56
G4070Hc	67	18	38.75
G4070Hd	76	35	105.74
G4070He	71	38	111.69
G4070Hf	69	22	45.51
H4073Ha	83	32	89.52
H4073Hb	90	27	114.63
H4073Hc	93	28	138.41
H4073Hd	88	27	112.6
H4073He	86	17	72.13
H4073Hf	89	22	70.01
H4075Ha	90	25	101.1
H4075Hb	89	24	120.15
H4075Hc	88	19	99.79
H4075Hd	88	11	66.5
H4075He	88	24	121.35
H4075Hf	88	15	69.1
H4076Ha	55	45	106.69
H4076Hb	52	46	106.46
H4076Hc	54	35	84.42
H4076Hd	54	40	96.33
H4076He	53	46	113.82
H4076Hf	53	35	85.24
H4077Ha	67	22	68.92
H4077Hb	77	27	111.32
H4077Hc	68	26	73.22
H4077Hd	78	22	98.79
H4077He	67	17	50.73
H4077Hf	64	10	34.86
H4080Ha	74	33	74.47
H4080Hb	71	19	54.99
H4080Hc	72	26	94.88
H4080Hd	84	25	83.99
H4080He	82	27	88.95
H4080Hf	84	25	92.32
K4092Ha	65	17	37.86
K4092Hb	72	23	76.32
K4092Hc	74	21	73.04
K4092Hd	57	23	56.58
K4092He	72	22	80.62
K4092Hf	73	20	76.05
K4093Ha	65	33	90.34
K4093Hb	73	37	127.29
K4093Hc	62	42	133.29
K4093Hd	73	22	82.91
K4093He	73	40	120.85
K4093Hf	70	45	128.56
K4094Ha	70	16	55.82
K4094Hb	14	8	32.48
K4094Hc	84	8	46.1
K4095Ha	54	30	57.7
K4095Hb	57	28	62.52
K4095Hc	58	14	18.09
K4096Ha	66	23	69.6
K4096Hb	69	42	112.05
K4096Hc	73	28	89.27
K4096Hd	72	26	71.98
K4096He	72	32	98.65
K4096Hf	69	26	68.5
K4100Ha	72	20	59.92
K4100Hb	73	21	74.85
K4100Hc	70	25	80.71
K4100Hd	74	26	84.38
K4100He	75	25	79.91
K4100Hf	79	23	90.02
L4102Ha	72	52	134.32
L4102Hb	61	30	60.57
L4102Hc	70	33	66.85
L4102Hd	62	31	69.99
L4102He	70	42	119.32
L4102Hf	73	46	115.12
L4104Ha	62	14	37.13
L4104Hb	59	31	85.44
L4104Hc	58	29	83.4
L4104Hd	60	30	81.89
L4104He	64	32	74.9
L4104Hf	57	14	34.75
L4105Ha	57	50	107.1
L4105Hb	70	38	116.84
L4105Hc	72	44	164.24
L4106Ha	80	28	73.63
L4106Hb	74	23	58.29
L4106Hc	82	25	76.05
L4106Hd	90	42	187.8
L4106He	83	19	57.92
L4106Hf	83	32	98.85
M4111Ha	58	23	40.82
M4111Hb	58	36	62.44
M4111Hc	52	41	62.57
M4111Hd	61	29	62.48
M4111He	63	43	88.3
M4111Hf	60	30	57.98
M4112Ha	66	46	110.94
M4112Hb	56	34	61.78
M4112Hc	66	42	85.74
M4112Hd	66	22	104.7
M4113Ha	63	30	58.08
M4113Hb	65	46	106.84
M4113Hc	69	38	103.02
M4113Hd	65	46	76.9
M4113He	67	70	69.77
M4113Hf	77	38	57.42
M4114Ha	80	31	125.01
